Model,Accuracy,F1_macro,ROC_AUC,Best Params
Logistic Regression,0.532,0.5256,0.6461,{'C': 0.1}
Random Forest,0.5427,0.49,0.6436,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
XGBoost,0.572,0.572,0.6369,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
LightGBM,0.496,0.421,0.5605,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_samples': 50, 'n_estimators': 100}"
SVM,0.5587,0.5452,0.6509,"{'C': 0.1, 'kernel': 'linear'}"
KNN,0.5493,0.4593,0.5619,"{'n_neighbors': 7, 'weights': 'uniform'}"
Always-Up (majority),0.5213,0.3427,N/A,—
Random Guess,0.496,0.4951,N/A,—
